Swedish,English
jag,I
det,the
är,is
du,you
att,to
inte,not
en,one
och,and
har,have
vi,we
på,on
i,in
för,for
han,he
med,with
som,as
om,if
var,where
vad,What
mig,me
här,here
dig,you
så,so
den,the
kan,can
till,to
de,the
men,but
ett,one
ska,will
ni,you
av,of
hon,she
vill,wants
ja,yes
vet,know
nu,now
nej,No
bara,only
hur,how
min,my
kommer,comes
där,where
måste,must
honom,him
gör,make
din,your
skulle,would
när,when
då,then
kom,Come
ha,have
bra,Good
får,get
man,MAN
vara,be
oss,U.S
ut,out
ta,take
er,your
göra,do
okej,okay
eller,or
hade,had
från,from
varför,why
dem,them
alla,all
tror,think
sig,one
allt,all
henne,her
upp,up
sa,said
ingen,No
tack,thanks
gå,go
in,in
igen,again
få,get
nåt,Something
se,see
går,Going
mycket,very
hej,Hello
vem,who
kanske,perhaps
lite,a little
behöver,need
ser,looks
mitt,my
aldrig,Never
finns,Available
än,than
inget,nothing
efter,after
blir,becomes
ju,Well
hans,his
sen,late